InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
78_EASTHAVEN_25021,78,EASTHAVEN,25021,Mark West Black Pnt Nr,750mL,7,10.99,2024-12-31
65_LUTON_18152,65,LUTON,18152,Banfi Centine Mntcln Tscna,750mL,18,9.99,2024-12-31
67_EANVERNESS_24930,67,EANVERNESS,24930,L'Ecole No 41 Cab 12 Walla W,750mL,9,42.99,2024-12-31
34_PITMERDEN_27515,34,PITMERDEN,27515,Clos du Bois RSV Chard RRV,750mL,12,13.99,2024-12-31
53_HILLFAR_3556,53,HILLFAR,3556,Hard Rock Vodka,1.75L,0,12.99,2024-12-31
46__16806,46,,16806,Apothic Winemakers White,750mL,0,7.99,2024-12-31
7_STANMORE_8130,7,STANMORE,8130,Bacardi Superior Rum,50mL,39,1.29,2024-12-31
73_DONCASTER_30735,73,DONCASTER,30735,Sonoma-Cutrer Cutrer V Chard,750mL,22,28.99,2024-12-31
50_MOUNTMEND_17617,50,MOUNTMEND,17617,Nostor Tinto Priorat,750mL,25,15.99,2024-12-31
21_BALERNO_2663,21,BALERNO,2663,Dewars White Label,1.75L,114,29.99,2024-12-31
30_CULCHETH_3437,30,CULCHETH,3437,Bombay Dry Gin,750mL,5,17.99,2024-12-31
52_GRAYCOTT_8258,52,GRAYCOTT,8258,Campari,750mL,8,29.99,2024-12-31
81_PEMBROKE_22039,81,PEMBROKE,22039,Ghost Pines Pnt Nr L Martini,750mL,17,17.99,2024-12-31
63_SWORDBREAK_30602,63,SWORDBREAK,30602,Zardetto Prosecco Conegliano,750mL,11,12.99,2024-12-31
41_LARNWICK_4979,41,LARNWICK,4979,Patron Silver Tequila,Liter,39,69.99,2024-12-31
33_HORNSEY_4233,33,HORNSEY,4233,Castillo Silver Label Rum,1.75L,19,10.99,2024-12-31
34_PITMERDEN_26534,34,PITMERDEN,26534,Lazzaroni Dry Marsala,750mL,6,8.99,2024-12-31
43_WOLFORD_8788,43,WOLFORD,8788,Stolichnaya,50mL,45,1.99,2024-12-31
61_AETHELNEY_6984,61,AETHELNEY,6984,Kendall Jackson Vntrs RSV Me,750mL,22,15.99,2024-12-31
66_EANVERNESS_2672,66,EANVERNESS,2672,Dewars White Label,50mL,124,2.29,2024-12-31
6_GOULCREST_6859,6,GOULCREST,6859,C Y Toro Frontera Chard,1.5L,7,10.99,2024-12-31
62_KILMARNOCK_26456,62,KILMARNOCK,26456,Ravenswood Vntnrs Blnd Chard,750mL,28,7.99,2024-12-31
46__5134,46,,5134,Dr McGillicuddy's Cherry,750mL,0,13.99,2024-12-31
23_ARBINGTON_2979,23,ARBINGTON,2979,Bowmore 12-Yr Scotch,750mL,5,44.99,2024-12-31
61_AETHELNEY_3826,61,AETHELNEY,3826,Skyy Vodka,1.75L,70,19.99,2024-12-31
